contract_id,criterion,description,label
         3254290,Kritéria nákladov,Predmetom zákazky Udržiavacie stavebné práce je uskutočňovanie bežných opráv a údržby v priestoroch v správe verejného obstarávateľa v rozsahu prác a dodávok podľa zmluvných podmienok.,Stavebné práce
         3254290,Zľava vyjadrená v percentách (%) z ceny predmetu zákazky.,Predmetom zákazky Udržiavacie stavebné práce je uskutočňovanie bežných opráv a údržby v priestoroch v správe verejného obstarávateľa v rozsahu prác a dodávok podľa zmluvných podmienok.,Stavebné práce
         3254340,Kritéria nákladov,Projekt rieši stavebné úpravy pre zníženie energetickej náročnosti viacúčelovej Obecnej budovy v obci Kamienka.,Stavebné práce
         3254340,Lehota realizácie prác,Projekt rieši stavebné úpravy pre zníženie energetickej náročnosti viacúčelovej Obecnej budovy v obci Kamienka.,Stavebné práce
         3254340,Cena stavebných prác,Projekt rieši stavebné úpravy pre zníženie energetickej náročnosti viacúčelovej Obecnej budovy v obci Kamienka.,Stavebné práce
         3254631,Kritéria nákladov,"Miestne kultúrne stredisko je samostatne stojaca stavba o uzavretom pôdorysnom tvare maximálnych rozmerov 36.85 x
55.7 m. Objekt je riešený ako dvojpodlažný, čiastočne podpivničený. V rámci zákazky sa uskutočnia nasledovné práce",Stavebné práce
         3254631,Počet kalendárnych dní realizácie stavebnych prác,"Miestne kultúrne stredisko je samostatne stojaca stavba o uzavretom pôdorysnom tvare maximálnych rozmerov 36.85 x
55.7 m. Objekt je riešený ako dvojpodlažný, čiastočne podpivničený. V rámci zákazky sa uskutočnia nasledovné práce",Stavebné práce
         3254631,Celková cena diela v EUR vrátane DPH,"Miestne kultúrne stredisko je samostatne stojaca stavba o uzavretom pôdorysnom tvare maximálnych rozmerov 36.85 x
55.7 m. Objekt je riešený ako dvojpodlažný, čiastočne podpivničený. V rámci zákazky sa uskutočnia nasledovné práce",Stavebné práce
         3254635,Kritéria nákladov,"Predmetom zákazky je komplexná rekonštrukcia budovy Obecného úradu Nové Sady po požiari a to obnova strechy,
vonkajších múrov, zateplenia a súvisiacich konštrukcií, t.j. kompletná obnova budovy z vonkajšej strany, rekonštrukciou",Stavebné práce na stavbe budov
         3254635,Lehota výstavby v dňoch,"Predmetom zákazky je komplexná rekonštrukcia budovy Obecného úradu Nové Sady po požiari a to obnova strechy,
vonkajších múrov, zateplenia a súvisiacich konštrukcií, t.j. kompletná obnova budovy z vonkajšej strany, rekonštrukciou",Stavebné práce na stavbe budov
         3254635,Najnižšia cena,"Predmetom zákazky je komplexná rekonštrukcia budovy Obecného úradu Nové Sady po požiari a to obnova strechy,
vonkajších múrov, zateplenia a súvisiacich konštrukcií, t.j. kompletná obnova budovy z vonkajšej strany, rekonštrukciou",Stavebné práce na stavbe budov
         3254800,Kritéria nákladov,"Dodanie motorovej nafty podľa STN EN 590:2014 (65 6506) triedy B,D,F vhodnej na celoročné použitie do nádrží umiestnených v areáli obstarávateľa v intervaloch uvedených v zmluve. 
Doprava nafty má byť realizovaná v autocisternác",Motorová nafta
         3254800,"vyhodnotenie nákladov použitím prístupu nákladovej efektívnosti, je určená výškou zľavy v % z ceny za 1 liter pohonnej látky v EUR bez DPH","Dodanie motorovej nafty podľa STN EN 590:2014 (65 6506) triedy B,D,F vhodnej na celoročné použitie do nádrží umiestnených v areáli obstarávateľa v intervaloch uvedených v zmluve. 
Doprava nafty má byť realizovaná v autocisternác",Motorová nafta
         3254875,Kritéria nákladov,Zámerom verejného obstarávateľa sú stavebné úpravy mestského kultúrneho strediska Veľké Kapušany,Stavebné práce
         3254875,Lehota realizácie prác v týždňoch,Zámerom verejného obstarávateľa sú stavebné úpravy mestského kultúrneho strediska Veľké Kapušany,Stavebné práce
         3254875,Celková cena s DPH,Zámerom verejného obstarávateľa sú stavebné úpravy mestského kultúrneho strediska Veľké Kapušany,Stavebné práce
         3254905,Najvyšší počet pevných sedadiel,"Predmetom zákazky je dodávka osobných klimatizovaných vozňov 2. triedy pre regionálnu dopravu.
Ide o dodávku je sedemnástich (17) kusov nových osobných klimatizovaných vozňov pre regionálnu dopravu na rýchlosť 160 km/h, dlhých 2",Železničné osobné vozne
         3254905,Doba odstránenia vady v rámci záručného servisu,"Predmetom zákazky je dodávka osobných klimatizovaných vozňov 2. triedy pre regionálnu dopravu.
Ide o dodávku je sedemnástich (17) kusov nových osobných klimatizovaných vozňov pre regionálnu dopravu na rýchlosť 160 km/h, dlhých 2",Železničné osobné vozne
         3254905,Koeficient prevádzkyschopnosti osobných vozňov,"Predmetom zákazky je dodávka osobných klimatizovaných vozňov 2. triedy pre regionálnu dopravu.
Ide o dodávku je sedemnástich (17) kusov nových osobných klimatizovaných vozňov pre regionálnu dopravu na rýchlosť 160 km/h, dlhých 2",Železničné osobné vozne
         3254905,Cena,"Predmetom zákazky je dodávka osobných klimatizovaných vozňov 2. triedy pre regionálnu dopravu.
Ide o dodávku je sedemnástich (17) kusov nových osobných klimatizovaných vozňov pre regionálnu dopravu na rýchlosť 160 km/h, dlhých 2",Železničné osobné vozne
         3255013,Najvyšší počet pevných sedadiel,"Modernizácia sa týka tridsiatichpiatich (35) kusov osobných vozňov 2. triedy radu Bdt (ďalej aj ako ""osobný vozeň"",
""OV"") vyrobených v rokoch 1986/1987 určených pre regionálnu dopravu.
Predmetom zákazky je modernizácia v rozsahu h","Opravy, údržba a súvisiace služby týkajúce sa lietadiel, železníc, ciest a námorného loďstva"
         3255013,Doba odstránenia vady v rámci záručného servisu,"Modernizácia sa týka tridsiatichpiatich (35) kusov osobných vozňov 2. triedy radu Bdt (ďalej aj ako ""osobný vozeň"",
""OV"") vyrobených v rokoch 1986/1987 určených pre regionálnu dopravu.
Predmetom zákazky je modernizácia v rozsahu h","Opravy, údržba a súvisiace služby týkajúce sa lietadiel, železníc, ciest a námorného loďstva"
         3255013,Koeficient prevádzkyschopnosti modernizovaných OV,"Modernizácia sa týka tridsiatichpiatich (35) kusov osobných vozňov 2. triedy radu Bdt (ďalej aj ako ""osobný vozeň"",
""OV"") vyrobených v rokoch 1986/1987 určených pre regionálnu dopravu.
Predmetom zákazky je modernizácia v rozsahu h","Opravy, údržba a súvisiace služby týkajúce sa lietadiel, železníc, ciest a námorného loďstva"
         3255013,Cena,"Modernizácia sa týka tridsiatichpiatich (35) kusov osobných vozňov 2. triedy radu Bdt (ďalej aj ako ""osobný vozeň"",
""OV"") vyrobených v rokoch 1986/1987 určených pre regionálnu dopravu.
Predmetom zákazky je modernizácia v rozsahu h","Opravy, údržba a súvisiace služby týkajúce sa lietadiel, železníc, ciest a námorného loďstva"
         3255113,Kritéria nákladov,"Stavebné práce ktorých riešením je odvádzanie splaškových odpadových vôd v obciach Horný Bar, Trstená na Ostrove, Jurová a Baka a rekonštrukcia čistiarne odpadových vôd v meste Gabčíkovo na ktorú budú splaškové odpadové v",Stavebné práce na stavbe potrubných vedení vody a kanalizácie
