contract_id,criterion,description,label
3254340,Lehota realizácie prác,Projekt rieši stavebné úpravy pre zníženie energetickej náročnosti viacúčelovej Obecnej budovy v obci Kamienka.,Stavebné práce
3254631,Počet kalendárnych dní realizácie stavebnych prác,"Miestne kultúrne stredisko je samostatne stojaca stavba o uzavretom pôdorysnom tvare maximálnych rozmerov 36.85 x
55.7 m. Objekt je riešený ako dvojpodlažný, čiastočne podpivničený. V rámci zákazky sa uskutočnia nasledovné práce",Stavebné práce
3254635,Lehota výstavby v dňoch,"Predmetom zákazky je komplexná rekonštrukcia budovy Obecného úradu Nové Sady po požiari a to obnova strechy,
vonkajších múrov, zateplenia a súvisiacich konštrukcií, t.j. kompletná obnova budovy z vonkajšej strany, rekonštrukciou",Stavebné práce na stavbe budov
3254875,Lehota realizácie prác v týždňoch,Zámerom verejného obstarávateľa sú stavebné úpravy mestského kultúrneho strediska Veľké Kapušany,Stavebné práce
3254905,Najvyšší počet pevných sedadiel,"Predmetom zákazky je dodávka osobných klimatizovaných vozňov 2. triedy pre regionálnu dopravu.
Ide o dodávku je sedemnástich (17) kusov nových osobných klimatizovaných vozňov pre regionálnu dopravu na rýchlosť 160 km/h, dlhých 2",Železničné osobné vozne
3254905,Doba odstránenia vady v rámci záručného servisu,"Predmetom zákazky je dodávka osobných klimatizovaných vozňov 2. triedy pre regionálnu dopravu.
Ide o dodávku je sedemnástich (17) kusov nových osobných klimatizovaných vozňov pre regionálnu dopravu na rýchlosť 160 km/h, dlhých 2",Železničné osobné vozne
3254905,Koeficient prevádzkyschopnosti osobných vozňov,"Predmetom zákazky je dodávka osobných klimatizovaných vozňov 2. triedy pre regionálnu dopravu.
Ide o dodávku je sedemnástich (17) kusov nových osobných klimatizovaných vozňov pre regionálnu dopravu na rýchlosť 160 km/h, dlhých 2",Železničné osobné vozne
3255013,Najvyšší počet pevných sedadiel,"Modernizácia sa týka tridsiatichpiatich (35) kusov osobných vozňov 2. triedy radu Bdt (ďalej aj ako ""osobný vozeň"",
""OV"") vyrobených v rokoch 1986/1987 určených pre regionálnu dopravu.
Predmetom zákazky je modernizácia v rozsahu h","Opravy, údržba a súvisiace služby týkajúce sa lietadiel, železníc, ciest a námorného loďstva"
3255013,Doba odstránenia vady v rámci záručného servisu,"Modernizácia sa týka tridsiatichpiatich (35) kusov osobných vozňov 2. triedy radu Bdt (ďalej aj ako ""osobný vozeň"",
""OV"") vyrobených v rokoch 1986/1987 určených pre regionálnu dopravu.
Predmetom zákazky je modernizácia v rozsahu h","Opravy, údržba a súvisiace služby týkajúce sa lietadiel, železníc, ciest a námorného loďstva"
3255013,Koeficient prevádzkyschopnosti modernizovaných OV,"Modernizácia sa týka tridsiatichpiatich (35) kusov osobných vozňov 2. triedy radu Bdt (ďalej aj ako ""osobný vozeň"",
""OV"") vyrobených v rokoch 1986/1987 určených pre regionálnu dopravu.
Predmetom zákazky je modernizácia v rozsahu h","Opravy, údržba a súvisiace služby týkajúce sa lietadiel, železníc, ciest a námorného loďstva"
3255113,Lehota realizácie,"Stavebné práce ktorých riešením je odvádzanie splaškových odpadových vôd v obciach Horný Bar, Trstená na Ostrove, Jurová a Baka a rekonštrukcia čistiarne odpadových vôd v meste Gabčíkovo na ktorú budú splaškové odpadové v",Stavebné práce na stavbe potrubných vedení vody a kanalizácie
3255220,Celkové ročné úspory vrátane DPH,"Predmetom zákazky je návrh a realizácia opatrení na zvýšenie prevádzkovej efektívnosti energetického hospodárstva súboru budov Národného ústavu tuberkulózy, pľúcnych chorôb a hrudníkovej chirurgie vo Vyšných Hágoch a zlepš",Energetika a súvisiace služby
3255257,Kvalitatívne ukazovatele,Predmetom zákazky je dodávka nových nepoužívaných mobilných počítačov s dotykovou obrazovkou a príslušenstvo a nových nepoužívaných mobilných tlačiarní a príslušenstvo vrátane rozšírenej záruky. Predmetné mobilné zaria,Prenosné počítače
3255272,Lehota dodania,Predmetom zákazky je dodanie tovaru a poskytnutie služieb do dátových centier obstarávateľa v súlade s určenými obchodnými podmienkami. Podrobný opis predmetu zákazky je uvedený v súťažných podkladoch zverejnených v Profile obs,Servery
3255584,Lehota realizácie,Navrhovaný objekt bude novostavba. Objekt bude slúžiť ako základňová stanica HZS pre oblastné stredisko Západné Tatry - Juh. V danej lokalite je HZS od roku 2003 v prenajatom objekte súp. č.367 od Horskej služby Západné Tatry - Ju,Stavebné práce na budovách horskej služby
3255744,Lehota realizácie,"Stavba bude umiestnená na pozemku mesta Lipany, ktoré má záujem o realizáciu predmetnej stavby. Jedná sa o výstavbu komunikácií a technickej infraštruktúry pre nasledovnú výstavbu rodinných domov v danej lokalite. Plánovaný poče",Práce na kompletnej alebo čiastočnej stavbe a práce inžinierskych stavieb
3255948,Lehota výstavby v kalendárnych dňoch,Predmetom zákazky je dobudovanie kanalizácie v obci Abrahám. Bližšia špecifikácia rozsahu stavebných prác je definovaná projektovou dokumentáciou a výkazom výmer.,Stavebné práce
3255952,Lehota výstavby v pracovných dňoch,Zníženie energetickej náročnosti budovy obecného úradu Dlhé nadCirochou,Stavebné práce
3255961,Celková výška garantovaných úspor počas Obdobia garancie na základe zmluvy o energetickej efektívnosti,Predmetom zákazky je rekonštrukcia a modernizácia energetického hospodárstva a niektorých ďalších prvkov vybraného súboru budov vo vlastníctve Hlavného mesta Slovenskej republiky Bratislava.,Energetika a súvisiace služby
3256059,Emisie CO,"Predmetom verejného obstarávania je uzavretie rámcovej dohody na dodávku kompletných nových návesových súprav pozostávajúcich zo špeciálneho dvojnápravovového teleskopického návesu na odvoz dreva, ťahača návesu s pohonom 6x6,",Motorové vozidlá na prepravu tovaru
3256059,Emisie NOx,"Predmetom verejného obstarávania je uzavretie rámcovej dohody na dodávku kompletných nových návesových súprav pozostávajúcich zo špeciálneho dvojnápravovového teleskopického návesu na odvoz dreva, ťahača návesu s pohonom 6x6,",Motorové vozidlá na prepravu tovaru
3256059,Spotreba PHM,"Predmetom verejného obstarávania je uzavretie rámcovej dohody na dodávku kompletných nových návesových súprav pozostávajúcich zo špeciálneho dvojnápravovového teleskopického návesu na odvoz dreva, ťahača návesu s pohonom 6x6,",Motorové vozidlá na prepravu tovaru
3256059,Systém samostatne výkyvných polonáprav,"Predmetom verejného obstarávania je uzavretie rámcovej dohody na dodávku kompletných nových návesových súprav pozostávajúcich zo špeciálneho dvojnápravovového teleskopického návesu na odvoz dreva, ťahača návesu s pohonom 6x6,",Motorové vozidlá na prepravu tovaru
3256086,Lehota vystavby v kalendárnych dňooch,"Predmetom zakazky je Cyklolavka cez rieku Nitra.
Podrobnejsi opis predmetu zakazky je sucastou sutaznych podkladov.",Stavebné práce na mostoch
3256127,Lehota,Cieľom projektu je zefektívnenie existujúceho separovaného zberu komunálneho odpadu zavedením separácie biologicky rozložiteľného komunálneho odpadu v obci Šarišské Dravce. Objekt zberného dvora bude slúžiť na sústredenie zber,Stavebné práce
3256132,Denná sadzba na kľúčového odborníka,"Predmetom zákazky je výkon činnosti Stavebnotechnického dozoru na projekte výstavby úseku diaľnice D1 Lietavská Lúčka - Višňové - Dubná Skala, pričom Zmluva na uskutočnenie stavebných prác na stavbu Lietavská Lúčka - Višňo",Stavebný dozor na stavenisku
3256132,Denná sadzba na nekľúčového odborníka,"Predmetom zákazky je výkon činnosti Stavebnotechnického dozoru na projekte výstavby úseku diaľnice D1 Lietavská Lúčka - Višňové - Dubná Skala, pričom Zmluva na uskutočnenie stavebných prác na stavbu Lietavská Lúčka - Višňo",Stavebný dozor na stavenisku
3256148,Lehota dodania tovaru,"Predmetom verejného obstarávania je dodávka nových horských kosačiek s príslušenstvom v počte 2 ks (horská kosačka, čelný mulčovač, disková kosa, obracač-zhrňovač, lis na balíky, balička sena, náves za traktor) vrátane col",Kosačky
3256270,Lehota realizácie prác,Zámerom verejného obstarávateľa sú stavebné úpravy budovy Obecného úradu v Herľanoch.,Stavebné práce
3256271,Čas potrebný na realizáciu predmetu obstarávania (v kalendárnych dňoch),"Predmet zákazky pozostáva z modernizácie a rekonštrukcie výrobno-administratívnej budovy skladajúcej sa z výrobnej haly jedlého rastlinného oleja, administratívnej budovy a rekonštrukcie oceľového skladu.",Stavebné práce na stavbe priemyselných budov
3256313,Najnižšia spotreba elektrickej energie za kalendárny rok v kW,"Predmetom zákazky je realizácia stavebných prác pre vybudovanie kanalizácie a ČOV v obci Orechová Potôň.
Bližšia špecifikácia je obsiahnutá v súťažných podkladoch a ich prílohách.",Stavebné práce na stavbe kanalizácie
3256393,Dĺžka (roky) bezplatného servisu,"Predmetom zákazky je dodanie 4 ks terénnych úžitkových motorových vozidiel.
Podrobné vymedzenie predmetu verejného obstarávania je v súťažných podkladoch.",Terénne a cestné vozidlá
3256393,Redukčná prevodovka (low range),"Predmetom zákazky je dodanie 4 ks terénnych úžitkových motorových vozidiel.
Podrobné vymedzenie predmetu verejného obstarávania je v súťažných podkladoch.",Terénne a cestné vozidlá
3256429,vzdialenosť skládky v km,"Predmetom zákazky je uskladnenie komunálneho odpadu, drobného stavebného odpadu a ostatného odpadu z miest a obcí: Krompachy, Spišské Vlachy, Spišské Podhradie, Bystrany, Hincovce, Beharovce, Granč-Petrovce, Žehra, Kolinovce, Slatvin",Likvidácia a spracovanie odpadu
3256604,"Maximálna odmena tlmočníka posunkovej reči nepočujúcich za tlmočenie v styku s týmito osobami za každú, aj začatú hodinu tlmočenia vyjadrená v EUR bez DPH","Predmetom zákazky je priebežné odplatné poskytovanie prekladateľských a tlmočníckych služieb, t. j.zabezpečenie reprodukcie písomných a hovorených informácií z východiskového jazyka do cieľového jazyka v písomnej a ústnej fo",Prekladateľské služby
3256604,Maximálna prirážka za nadčasovú hodinu tlmočenia (všetky typy tlmočenia) vyjadrená v %,"Predmetom zákazky je priebežné odplatné poskytovanie prekladateľských a tlmočníckych služieb, t. j.zabezpečenie reprodukcie písomných a hovorených informácií z východiskového jazyka do cieľového jazyka v písomnej a ústnej fo",Prekladateľské služby
3256604,"Maximálna výška príplatku v prípade tlmočenia (všetky typy tlmočenia) v čase medzi 18:00 hod. až 6:00 hod., v sobotu, nedeľu, štátny sviatok a deň pracovného pokoja vyjadrená v %","Predmetom zákazky je priebežné odplatné poskytovanie prekladateľských a tlmočníckych služieb, t. j.zabezpečenie reprodukcie písomných a hovorených informácií z východiskového jazyka do cieľového jazyka v písomnej a ústnej fo",Prekladateľské služby
3256604,Maximálna výška príplatku v prípade dodania prekladu do 24 hodín od doručenia požiadavky objednávateľa na vyhotovenie prekladu vyjadrená v %,"Predmetom zákazky je priebežné odplatné poskytovanie prekladateľských a tlmočníckych služieb, t. j.zabezpečenie reprodukcie písomných a hovorených informácií z východiskového jazyka do cieľového jazyka v písomnej a ústnej fo",Prekladateľské služby
3256607,Lehota realizácie,"Rekonštrukcia objektu ""TELOCVIČŇA"" je navrhnutá za účelom odstránenia porúch a deformácií jednotlivých stavebných konštrukcií a technického vybavenia (havarijný stav drevenej palubovej podlahy veľkej telocvične, netesnosť stre",Stavebné práce na telocvičniach
3256640,Lehota realizácie,"Predmetom zákazky je realizácia stavebných prác na výstavbe zberného dvora. Zberný dvor je situovaný na parcele č.:
KN C 558, katastrálne územie: Balog nad Ipľom, Obec Balog nad Ipľom, okres: Veľký Krtíš, kraj Banskobystrický.",Stavebné práce
